date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:43	461/461	---M--	200	added ('OK')	image/svg+xml	etag:%22181e31bfc55d4a3b6ca2acc452595aa0-ssl%22	https://www.rammaheshwari.com/assets/svg/yt-dark.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/yt-dark.svg	(from https://www.rammaheshwari.com/)
12:04:43	902/902	---M--	200	added ('OK')	image/svg+xml	etag:%22725f9e6839f7d870b50f76fdd6378d49-ssl%22	https://www.rammaheshwari.com/assets/svg/github-dark.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/github-dark.svg	(from https://www.rammaheshwari.com/)
12:04:44	575/575	---M--	200	added ('OK')	image/svg+xml	etag:%22c36ea9422803193a2dd55c7ade9ffed3-ssl%22	https://www.rammaheshwari.com/assets/svg/book-dark.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/book-dark.svg	(from https://www.rammaheshwari.com/)
12:04:45	180301/180301	---M--	200	added ('OK')	image/jpeg	etag:%2268a03d4e655f1a74f05f5f202c1dd207-ssl%22	https://www.rammaheshwari.com/assets/jpeg/dopefolio.jpeg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/jpeg/dopefolio.jpg	(from https://www.rammaheshwari.com/)
12:04:46	8904/8904	---MCZ	200	added ('OK')	text/html	etag:%2281b44cf20129ed9ad71eddd62e39ba9a-ssl-df%22	https://www.rammaheshwari.com/project-1	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/project-1.html	(from https://www.rammaheshwari.com/)
12:04:47	143195/143195	---M--	200	added ('OK')	image/jpeg	etag:%2272a56131a8766893e34d50f8022a1087-ssl%22	https://www.rammaheshwari.com/assets/jpeg/wilsonport.jpeg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/jpeg/wilsonport.jpg	(from https://www.rammaheshwari.com/)
12:04:47	8124/8124	---MCZ	200	added ('OK')	text/html	etag:%22d27c72670476f427e84c96860b529697-ssl-df%22	https://www.rammaheshwari.com/project-2	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/project-2.html	(from https://www.rammaheshwari.com/)
12:04:48	141879/141879	---M--	200	added ('OK')	image/jpeg	etag:%22d5138080717b9799afa2d04183b0a038-ssl%22	https://www.rammaheshwari.com/assets/jpeg/boreal-coffee-clone.jpeg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/jpeg/boreal-coffee-clone.jpg	(from https://www.rammaheshwari.com/)
12:04:48	8168/8168	---MCZ	200	added ('OK')	text/html	etag:%22e2adf2c37d5b2fc374ed97e2c192ba13-ssl-df%22	https://www.rammaheshwari.com/project-3	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/project-3.html	(from https://www.rammaheshwari.com/)
12:04:49	100446/100446	---M--	200	added ('OK')	image/jpeg	etag:%228a86ed535c267ce4cef564afd109b09f-ssl%22	https://www.rammaheshwari.com/assets/jpeg/crown-template.jpeg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/jpeg/crown-template.jpg	(from https://www.rammaheshwari.com/)
12:04:50	8183/8183	---MCZ	200	added ('OK')	text/html	etag:%22a8a7c52af79f0cf059eab77e3a7524c5-ssl-df%22	https://www.rammaheshwari.com/project-4	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/project-4.html	(from https://www.rammaheshwari.com/)
12:04:51	565/565	---M--	200	added ('OK')	image/png	etag:%220492c00862346c4c3c82ad9090e21c2b-ssl%22	https://www.rammaheshwari.com/assets/png/linkedin-ico.png	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/png/linkedin-ico.png	(from https://www.rammaheshwari.com/)
12:04:51	535/535	---M--	200	added ('OK')	image/png	etag:%22f144db846a12a38079c847d6564350b2-ssl%22	https://www.rammaheshwari.com/assets/png/github-ico.png	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/png/github-ico.png	(from https://www.rammaheshwari.com/)
12:04:52	1129/1129	---M--	200	added ('OK')	image/png	etag:%224976b7d58fc50f3a2f187d8e554f56f8-ssl%22	https://www.rammaheshwari.com/assets/png/twitter-ico.png	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/png/twitter-ico.png	(from https://www.rammaheshwari.com/)
12:04:52	582/582	---M--	200	added ('OK')	image/png	etag:%220b93d060a6cf467c3c1f6e039d102ece-ssl%22	https://www.rammaheshwari.com/assets/png/blog-ico.png	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/png/blog-ico.png	(from https://www.rammaheshwari.com/)
12:04:53	832/832	---M--	200	added ('OK')	image/png	etag:%2276f9558d0314bd086a52a291f4249c91-ssl%22	https://www.rammaheshwari.com/assets/png/yt-ico.png	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/png/yt-ico.png	(from https://www.rammaheshwari.com/)
12:04:54	1338/1338	---M-Z	200	added ('OK')	application/javascript	etag:%22c35a33313257e212bfc64721cf841a94-ssl-df%22	https://www.rammaheshwari.com/index.js	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/index.js	(from https://www.rammaheshwari.com/)
12:04:55	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Apr%202025%2006:34:55%20GMT	http://code.tidio.co/hkirvl5pqs5cjjawh11xutnzjgtg9tfi.js	C:/My%20Web%20Sites/Portfoliooooooooooo/code.tidio.co/hkirvl5pqs5cjjawh11xutnzjgtg9tfi.19.delayed	(from https://www.rammaheshwari.com/)
12:04:56	0/-1	---M--	302	error ('')			https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/Portfoliooooooooooo/i.postimg.cc/TwY74D31/profile-pic-8.1c.delayed	(from https://www.rammaheshwari.com/project-1)
12:04:56	0/-1	---M--	302	error ('')			https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/Portfoliooooooooooo/i.postimg.cc/TwY74D31/profile-pic-8.1d.delayed	(from https://www.rammaheshwari.com/project-2)
12:04:56	0/-1	---M--	302	error ('')			https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/Portfoliooooooooooo/i.postimg.cc/TwY74D31/profile-pic-8.1e.delayed	(from https://www.rammaheshwari.com/project-3)
12:04:56	0/-1	---M--	302	error ('')			https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/Portfoliooooooooooo/i.postimg.cc/TwY74D31/profile-pic-8.1f.delayed	(from https://www.rammaheshwari.com/project-4)
12:04:56	4173/4173	---MCZ	200	added ('OK')	image/svg+xml	etag:%2299fbcdb4120623435dcbce63e49e0480-ssl-df%22	https://www.rammaheshwari.com/assets/svg/common-bg.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/common-bg.svg	(from https://www.rammaheshwari.com/css/style.css)
